step diff
100 13.19675852445
200 3.90228018976
300 1.66483283455
400 0.75718356189
500 0.34846504752
600 0.16085577192
700 0.07433406120
800 0.03436692896
900 0.01589222195
1000 0.00734971218
1100 0.00339918923
1200 0.00157213295
1300 0.00072712206
1400 0.00033630032
1500 0.00015554216
1600 0.00007193982
1700 0.00003327291
1800 0.00001538907
1900 0.00000711761
2000 0.00000329197
2100 0.00000152257
2200 0.00000070420
2300 0.00000032570
2400 0.00000015064
2500 0.00000006967
2600 0.00000003222
2700 0.00000001490
2800 0.00000000689
2900 0.00000000319
3000 0.00000000147
3051 0.00000000100
